,match_id,game_id,rally_id,point_nbr,srv_team_id,rtrn_team_id,w_team_id,to_ind,to_team_id,ending_type
0,1,1,1,1,T1,T2,T2,N,,Other
1,1,1,2,2,T2,T1,T2,N,,Winner
2,1,1,3,3,T2,T1,T2,N,,Unforced Error
3,1,1,4,4,T2,T1,T2,N,,Unforced Error
4,1,1,5,5,T2,T1,T1,N,,Other
5,1,1,6,6,T2,T1,T1,N,,Other
6,1,1,7,7,T1,T2,T2,N,,Other
7,1,1,8,8,T1,T2,T2,N,,Unforced Error
8,1,1,9,9,T2,T1,T2,N,,Winner
9,1,1,10,10,T2,T1,T1,N,,Other
10,1,1,11,11,T2,T1,T2,N,,Other
11,1,1,12,12,T2,T1,T1,N,,Unforced Error
12,1,1,13,13,T1,T2,T2,N,,Other
13,1,1,14,14,T1,T2,T1,N,,Other
14,1,1,15,15,T1,T2,T2,N,,Other
15,1,1,16,16,T2,T1,T1,N,,Other
16,1,1,17,17,T2,T1,T1,N,,Winner
17,1,1,18,18,T1,T2,T2,N,,Unforced Error
18,1,1,19,19,T1,T2,T2,N,,Other
19,1,1,20,20,T2,T1,T1,N,,Other
20,1,1,21,21,T2,T1,T2,N,,Other
21,1,1,22,22,T2,T1,,Y,T1,
22,1,1,23,23,T2,T1,T1,N,,Unforced Error
23,1,1,24,24,T1,T2,T2,N,,Other
24,1,1,25,25,T1,T2,T1,N,,Other
25,1,1,26,26,T1,T2,T2,N,,Other
26,1,1,27,27,T2,T1,T2,N,,Winner
27,1,1,28,28,T2,T1,T1,N,,Other
28,1,1,29,29,T2,T1,T1,N,,Unforced Error
29,1,1,30,30,T1,T2,T1,N,,Other
30,1,1,31,31,T1,T2,T2,N,,Unforced Error
31,1,1,32,32,T1,T2,T1,N,,Winner
32,1,1,33,33,T1,T2,T2,N,,Unforced Error
33,1,1,34,34,T2,T1,T1,N,,Unforced Error
34,1,1,35,35,T2,T1,T1,N,,Unforced Error
35,1,1,36,36,T1,T2,T1,N,,Other
36,1,1,37,37,T1,T2,,Y,T2,
37,1,1,38,38,T1,T2,T2,N,,Unforced Error
38,1,1,39,39,T1,T2,T2,N,,Unforced Error
39,1,1,40,40,T2,T1,T1,N,,Unforced Error
40,1,1,41,41,T2,T1,T1,N,,Winner
41,1,1,42,42,T1,T2,T1,N,,Other
42,1,1,43,43,T1,T2,T1,N,,Winner
43,1,1,44,44,T1,T2,T2,N,,Other
44,1,1,45,45,T1,T2,T1,N,,Other
45,1,1,46,46,T1,T2,T2,N,,Other
46,1,1,47,47,T2,T1,T1,N,,Other
47,1,1,48,48,T2,T1,T1,N,,Winner
48,1,1,49,49,T1,T2,T1,N,,Winner
49,1,1,50,50,T1,T2,,Y,T2,
50,1,1,51,51,T1,T2,T2,N,,Unforced Error
51,1,1,52,52,T1,T2,T2,N,,Other
52,1,1,53,53,T2,T1,T1,N,,Other
53,1,1,54,54,T2,T1,T1,N,,Unforced Error
54,1,1,55,55,T1,T2,T1,N,,Other
55,1,1,56,56,T1,T2,T2,N,,Other
56,1,1,57,57,T1,T2,T2,N,,Unforced Error
57,1,1,58,58,T2,T1,T2,N,,Winner
58,1,1,59,59,T2,T1,T2,N,,Winner
59,1,1,60,60,T2,T1,T2,N,,Unforced Error
60,1,1,61,61,T2,T1,,Y,T1,
61,1,1,62,62,T2,T1,T2,N,,Unforced Error
62,1,1,63,63,T2,T1,T2,N,,Other
